Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,77,0,43,46.269757065365646,31.35391604155302,109.90687506273389,9674.883116883117,0.2574605126184346,0.0,43,48,50,54,59,67,83,110,110,110,110
GET,/maps GetMap,194,0,110,123.93592294190348,33.31445902585983,1003.3673751167953,60927.201030927834,0.6486667460776144,0.0,110,140,160,170,220,270,320,370,1000,1000,1000
GET,/metrics,72,0,46,48.004154448992466,28.715374879539013,125.8305839728564,18994.055555555555,0.24074229751334145,0.0,47,50,52,57,63,66,75,130,130,130,130
GET,/tiles styled z=10,27,0,50,52.85164041237699,28.830582974478602,119.27950009703636,2250.3703703703704,0.09027836156750305,0.0,50,54,59,62,76,80,120,120,120,120,120
GET,/tiles styled z=4,26,0,54,63.113309380311804,29.806624865159392,202.09349994547665,6034.461538461538,0.08693471854648441,0.0,55,65,66,76,110,110,200,200,200,200,200
GET,/tiles styled z=6,30,0,50,52.32042504940182,29.55875010229647,90.01637483015656,2682.1,0.10030929063055893,0.0,51,57,60,68,77,84,90,90,90,90,90
GET,/tiles styled z=8,38,0,52,54.69676531165054,30.823999783024192,99.97933404520154,3049.0,0.127058434798708,0.0,52,58,65,68,73,85,100,100,100,100,100
GET,/tiles z=10,103,0,49,54.15677108114712,25.34158411435783,132.92529084719718,2217.660194174757,0.344395231164919,0.0,49,58,63,68,75,88,100,110,130,130,130
GET,/tiles z=4,100,0,49,58.2232679403387,29.02020886540413,164.99499999918044,6368.84,0.33436430210186313,0.0,50,61,73,82,96,110,130,160,160,160,160
GET,/tiles z=6,161,0,49,53.95717209390139,25.913292076438665,155.61195788905025,3211.3975155279504,0.5383265263839996,0.0,49,58,62,66,76,87,110,130,160,160,160
GET,/tiles z=8,160,0,49,54.406760627171025,26.126750046387315,219.32629100047052,3282.3875,0.5349828833629809,0.0,49,55,62,67,77,91,150,170,220,220,220
GET,/tiles/collections,68,0,45,45.81716663190438,30.148375080898404,65.26799988932908,10429.0,0.22736772542926692,0.0,45,49,53,53,59,62,64,65,65,65,65
GET,/wms GetCapabilities,58,0,49,50.24962281760085,32.33866696245968,107.73749998770654,99533.06896551725,0.19393129521908062,0.0,49,51,55,56,66,79,87,110,110,110,110
GET,/wms GetLegendGraphic,77,0,48,49.049937891979496,27.71441708318889,95.48120899125934,2687.948051948052,0.2574605126184346,0.0,48,52,55,57,63,86,91,95,95,95,95
GET,/wms GetMap CRS:84,207,0,97,117.2103003344548,30.980499926954508,420.2149589546025,43018.893719806765,0.6921341053508566,0.0,97,120,150,160,220,280,350,370,420,420,420
GET,/wms GetMap EPSG:3857,630,0,170,256.99554620613713,28.715791180729866,1648.4261660370976,143595.25238095238,2.1064951032417376,0.0,170,250,310,370,570,760,1100,1300,1600,1600,1600
GET,/wms GetMap EPSG:4326,123,0,100,132.57853829915203,27.419291902333498,466.4723330643028,73157.60975609756,0.41126809158529165,0.0,100,140,170,200,260,300,400,420,470,470,470
,Aggregated,2151,0,68,129.639752402725,25.34158411435783,1648.4261660370976,61046.622036262204,7.192176138211075,0.0,68,110,140,170,270,420,640,920,1600,1600,1600
