Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,318,0,49,59.46703956231077,31.87554213218391,372.1670829690993,9986.83962264151,1.0637935584910576,0.0,49,54,58,62,86,140,160,210,370,370,370
GET,/maps GetMap,998,0,100,134.95002043496945,29.788542073220015,769.253833219409,50516.749498998,3.338572237025395,0.0,100,140,170,190,260,330,410,460,770,770,770
GET,/metrics,368,0,50,57.95857674029717,29.59329099394381,207.41400006227195,19029.16304347826,1.2310566966185825,0.0,50,54,59,62,92,120,160,170,210,210,210
GET,/tiles styled z=10,123,0,52,59.62582755023689,34.40241701900959,222.9481670074165,2274.967479674797,0.411467319793711,0.0,52,57,61,68,84,120,150,150,220,220,220
GET,/tiles styled z=4,127,0,55,64.5876286173694,26.237790938466787,231.14854213781655,4348.503937007874,0.42484837084391297,0.0,55,59,66,77,100,120,170,220,230,230,230
GET,/tiles styled z=6,191,0,54,64.31306783885192,31.496375100687146,215.27254208922386,3198.020942408377,0.6389451876471447,0.0,54,61,68,78,100,130,180,200,220,220,220
GET,/tiles styled z=8,176,0,55,66.05864082997537,31.46091685630381,426.76804098300636,3055.4261363636365,0.5887662462088873,0.0,55,63,68,73,94,130,200,320,430,430,430
GET,/tiles z=10,512,0,54,63.26169528028913,29.84770806506276,350.32245819456875,2369.046875,1.7127745344258538,0.0,54,61,66,73,99,120,170,210,350,350,350
GET,/tiles z=4,499,0,56,70.1489306996597,28.860041173174977,491.9770408887416,6305.871743486974,1.6692861185126975,0.0,56,68,82,92,110,150,200,240,490,490,490
GET,/tiles z=6,761,0,54,65.48232573014776,28.95254106260836,383.5991658270359,3385.07358738502,2.5457449623009274,0.0,54,61,67,77,110,140,170,240,380,380,380
GET,/tiles z=8,786,0,57,67.75448277785796,30.50804208032787,372.10600008256733,3114.328244274809,2.6293765313646897,0.0,57,64,72,83,110,140,180,220,370,370,370
GET,/tiles/collections,318,0,49,56.205577835727645,29.280625050887465,252.59558320976794,10429.0,1.0637935584910576,0.0,49,54,57,60,75,120,160,200,250,250,250
GET,/wms GetCapabilities,313,0,51,60.02644806305845,32.888042042031884,374.2159998510033,99794.8019169329,1.0470672446783051,0.0,51,56,59,61,72,110,190,230,370,370,370
GET,/wms GetLegendGraphic,325,0,50,57.51256451010704,28.57458288781345,268.48604204133153,2698.673846153846,1.0872103978289112,0.0,50,55,59,63,82,120,150,170,270,270,270
GET,/wms GetMap CRS:84,999,0,97,121.88678245117013,34.05604092404246,718.2582078967243,43930.35535535536,3.3419174997879453,0.0,97,130,150,170,230,300,380,450,720,720,720
GET,/wms GetMap EPSG:3857,3181,0,180,240.58698233577408,34.56191602163017,2326.72220794484,146583.480037724,10.641280847673126,0.0,180,240,290,330,490,650,940,1200,1900,2300,2300
GET,/wms GetMap EPSG:4326,646,0,120,149.53668344688052,30.270291958004236,716.8338329065591,70376.58978328173,2.16103974460762,0.0,120,160,190,200,280,350,480,580,720,720,720
,Aggregated,10641,0,82,133.81012261772267,26.237790938466787,2326.72220794484,62307.99943614322,35.596941056299826,0.0,82,120,160,180,280,390,590,770,1600,2100,2300
