max_batch_tiles,sparse,batched,run,tiles,requests,bytes,milliseconds
2,false,false,0,56,56,2221216,802.9
2,false,true,0,56,28,2221440,547.6
2,false,true,1,56,28,2221440,659.7
2,false,false,1,56,56,2221216,610.9
2,false,false,2,56,56,2221216,654.9
2,false,true,2,56,28,2221440,1148.1
2,false,true,3,56,28,2221440,724.3
2,false,false,3,56,56,2221216,964.8
2,false,false,4,56,56,2221216,781.2
2,false,true,4,56,28,2221440,1912.1
2,false,true,5,56,28,2221440,1186.2
2,false,false,5,56,56,2221216,682.2
2,true,false,0,21,21,421566,421.8
2,true,true,0,21,21,421566,361.7
2,true,true,1,21,21,421566,226.4
2,true,false,1,21,21,421566,255.8
2,true,false,2,21,21,421566,553.7
2,true,true,2,21,21,421566,391.3
2,true,true,3,21,21,421566,272.9
2,true,false,3,21,21,421566,396.5
2,true,false,4,21,21,421566,1178.0
2,true,true,4,21,21,421566,396.0
2,true,true,5,21,21,421566,414.9
2,true,false,5,21,21,421566,699.6
4,false,false,0,56,56,2221216,890.3
4,false,true,0,56,14,2221552,469.1
4,false,true,1,56,14,2221552,680.7
4,false,false,1,56,56,2221216,568.5
4,false,false,2,56,56,2221216,586.2
4,false,true,2,56,14,2221552,602.5
4,false,true,3,56,14,2221552,833.7
4,false,false,3,56,56,2221216,903.6
4,false,false,4,56,56,2221216,573.9
4,false,true,4,56,14,2221552,1604.6
4,false,true,5,56,14,2221552,930.9
4,false,false,5,56,56,2221216,754.7
4,true,false,0,21,21,421566,322.4
4,true,true,0,21,21,421566,937.5
4,true,true,1,21,21,421566,280.7
4,true,false,1,21,21,421566,230.8
4,true,false,2,21,21,421566,331.9
4,true,true,2,21,21,421566,316.5
4,true,true,3,21,21,421566,247.9
4,true,false,3,21,21,421566,303.5
4,true,false,4,21,21,421566,297.4
4,true,true,4,21,21,421566,1140.5
4,true,true,5,21,21,421566,891.8
4,true,false,5,21,21,421566,957.5
16,false,false,0,56,56,2221216,1139.6
16,false,true,0,56,4,2221632,826.9
16,false,true,1,56,4,2221632,860.3
16,false,false,1,56,56,2221216,746.3
16,false,false,2,56,56,2221216,751.9
16,false,true,2,56,4,2221632,1009.4
16,false,true,3,56,4,2221632,689.2
16,false,false,3,56,56,2221216,914.5
16,false,false,4,56,56,2221216,694.0
16,false,true,4,56,4,2221632,2750.6
16,false,true,5,56,4,2221632,1702.7
16,false,false,5,56,56,2221216,792.5
16,true,false,0,21,21,421566,227.9
16,true,true,0,21,21,421566,1363.7
16,true,true,1,21,21,421566,547.2
16,true,false,1,21,21,421566,514.2
16,true,false,2,21,21,421566,889.6
16,true,true,2,21,21,421566,645.4
16,true,true,3,21,21,421566,486.1
16,true,false,3,21,21,421566,648.9
16,true,false,4,21,21,421566,276.9
16,true,true,4,21,21,421566,474.6
16,true,true,5,21,21,421566,292.5
16,true,false,5,21,21,421566,268.4
