location,latitude,longitude,time,temperature,humidity,wind_speed
Helsinki,60.1699,24.9384,2024-01-01T00:00:00Z,-2.5,85.0,3.2
Helsinki,60.1699,24.9384,2024-01-01T01:00:00Z,-2.8,86.0,3.5
Helsinki,60.1699,24.9384,2024-01-01T02:00:00Z,-3.1,87.0,3.8
Helsinki,60.1699,24.9384,2024-01-01T03:00:00Z,-3.0,86.5,4.1
Helsinki,60.1699,24.9384,2024-01-01T04:00:00Z,-2.9,85.5,4.5
Helsinki,60.1699,24.9384,2024-01-01T05:00:00Z,-2.7,84.0,4.2
Helsinki,60.1699,24.9384,2024-01-01T06:00:00Z,-2.5,83.0,3.9
Tampere,61.4978,23.7610,2024-01-01T00:00:00Z,-5.0,90.0,2.1
Tampere,61.4978,23.7610,2024-01-01T01:00:00Z,-5.3,91.0,2.3
Tampere,61.4978,23.7610,2024-01-01T02:00:00Z,-5.5,92.0,2.0
Tampere,61.4978,23.7610,2024-01-01T03:00:00Z,-5.8,91.5,1.8
Tampere,61.4978,23.7610,2024-01-01T04:00:00Z,-6.0,90.5,1.5
Tampere,61.4978,23.7610,2024-01-01T05:00:00Z,-5.7,89.0,1.7
Tampere,61.4978,23.7610,2024-01-01T06:00:00Z,-5.5,88.0,2.0
Oulu,65.0121,25.4651,2024-01-01T00:00:00Z,-10.0,78.0,5.5
Oulu,65.0121,25.4651,2024-01-01T01:00:00Z,-10.5,79.0,5.8
Oulu,65.0121,25.4651,2024-01-01T02:00:00Z,-11.0,80.0,6.1
Oulu,65.0121,25.4651,2024-01-01T03:00:00Z,-11.2,80.5,6.5
Oulu,65.0121,25.4651,2024-01-01T04:00:00Z,-11.5,81.0,6.8
Oulu,65.0121,25.4651,2024-01-01T05:00:00Z,-11.0,80.0,6.2
Oulu,65.0121,25.4651,2024-01-01T06:00:00Z,-10.8,79.0,5.9
